epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,6211.63,0.54752,0.3621,1.02301,0.9464,0.90093,0.95731,0.85253,0.48997,0.31935,0.99395,0.001981,0.001981,0.001981
83,6303.58,0.54387,0.35985,1.02006,0.94541,0.90198,0.95735,0.85271,0.48972,0.31926,0.99365,0.001882,0.001882,0.001882
84,6394.42,0.54348,0.35971,1.0204,0.94575,0.90172,0.95738,0.85293,0.48955,0.31901,0.99345,0.001783,0.001783,0.001783
85,6486.56,0.54386,0.35931,1.02036,0.94598,0.90172,0.95737,0.85288,0.48944,0.31877,0.99332,0.001684,0.001684,0.001684
86,6577.59,0.54147,0.3551,1.02013,0.94532,0.90224,0.95744,0.85319,0.48925,0.31851,0.99322,0.001585,0.001585,0.001585
87,6667.08,0.54161,0.35693,1.01972,0.94516,0.90237,0.95743,0.85326,0.48909,0.31832,0.99304,0.001486,0.001486,0.001486
88,6759.4,0.54239,0.3562,1.01779,0.94649,0.90152,0.95754,0.85334,0.48888,0.31802,0.99282,0.001387,0.001387,0.001387
89,6852.34,0.54003,0.35297,1.0167,0.94651,0.90169,0.9577,0.8536,0.48871,0.31774,0.99269,0.001288,0.001288,0.001288
90,6943.64,0.53859,0.35104,1.01378,0.94555,0.90283,0.9578,0.85378,0.48847,0.31755,0.9924,0.001189,0.001189,0.001189
91,7033.38,0.50908,0.32252,0.99496,0.94575,0.90258,0.95783,0.85395,0.48831,0.31733,0.99224,0.00109,0.00109,0.00109
92,7122.58,0.50411,0.31679,0.98782,0.94564,0.90298,0.95798,0.85412,0.48802,0.31699,0.99195,0.000991,0.000991,0.000991
93,7210.43,0.5002,0.31293,0.9876,0.94618,0.90244,0.95798,0.85423,0.4878,0.31675,0.99174,0.000892,0.000892,0.000892
94,7298.37,0.49875,0.31079,0.98594,0.94663,0.90218,0.95808,0.85442,0.48764,0.31646,0.99157,0.000793,0.000793,0.000793
95,7387.38,0.49819,0.31042,0.98591,0.94639,0.90263,0.95805,0.8544,0.48738,0.31619,0.99136,0.000694,0.000694,0.000694
96,7474.3,0.49702,0.30763,0.98045,0.94653,0.90274,0.95813,0.85458,0.48715,0.31578,0.99108,0.000595,0.000595,0.000595
97,7561.44,0.49384,0.30512,0.98036,0.9454,0.9039,0.95827,0.85487,0.48688,0.31559,0.99079,0.000496,0.000496,0.000496
98,7651.44,0.49225,0.30236,0.9803,0.94571,0.90367,0.9583,0.85484,0.48675,0.31539,0.99059,0.000397,0.000397,0.000397
99,7740.85,0.49121,0.30193,0.98017,0.94586,0.90351,0.95835,0.85485,0.48651,0.31529,0.99033,0.000298,0.000298,0.000298
100,7829.29,0.49029,0.30013,0.97637,0.94576,0.90375,0.95834,0.85493,0.48637,0.3151,0.9901,0.000199,0.000199,0.000199
