epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2952.25,0.52185,0.38081,1.04637,0.92705,0.86693,0.93013,0.80442,0.55594,0.39387,1.07044,0.004654,0.004654,0.004654
56,3003.68,0.51603,0.37566,1.04104,0.92907,0.86693,0.93043,0.80697,0.555,0.39345,1.06834,0.004555,0.004555,0.004555
57,3054.02,0.51424,0.37414,1.03891,0.92917,0.86589,0.92995,0.80693,0.55183,0.39264,1.06502,0.004456,0.004456,0.004456
58,3103.9,0.51709,0.37521,1.04022,0.92897,0.86731,0.93115,0.80737,0.55046,0.39166,1.06157,0.004357,0.004357,0.004357
59,3153.82,0.51668,0.37266,1.03995,0.92867,0.8694,0.93079,0.80707,0.54912,0.38916,1.06104,0.004258,0.004258,0.004258
60,3204.25,0.51319,0.36986,1.03672,0.9314,0.87064,0.93299,0.80953,0.54954,0.3886,1.05855,0.004159,0.004159,0.004159
61,3254.48,0.51033,0.36946,1.037,0.9289,0.8681,0.93199,0.80948,0.54945,0.38863,1.06114,0.00406,0.00406,0.00406
62,3304.68,0.50897,0.37009,1.03471,0.92993,0.87051,0.93368,0.81132,0.54565,0.38745,1.05617,0.003961,0.003961,0.003961
63,3354.78,0.50815,0.36585,1.03357,0.93196,0.86942,0.93334,0.81193,0.5462,0.38239,1.0579,0.003862,0.003862,0.003862
64,3405.06,0.50368,0.36138,1.03278,0.93362,0.87057,0.93349,0.81291,0.54298,0.382,1.05582,0.003763,0.003763,0.003763
65,3455.09,0.50718,0.36303,1.03261,0.93022,0.87315,0.9343,0.81279,0.54441,0.38045,1.05406,0.003664,0.003664,0.003664
66,3505.41,0.5016,0.35878,1.02773,0.93354,0.87079,0.93471,0.8141,0.54255,0.37693,1.05398,0.003565,0.003565,0.003565
67,3555.28,0.5027,0.35937,1.02928,0.93397,0.87043,0.9357,0.81439,0.54171,0.37652,1.05131,0.003466,0.003466,0.003466
68,3605.26,0.49718,0.35393,1.02153,0.93164,0.87401,0.93493,0.81365,0.54175,0.37729,1.05286,0.003367,0.003367,0.003367
69,3655.52,0.49855,0.35649,1.02664,0.92906,0.87633,0.93606,0.81574,0.54032,0.37556,1.04891,0.003268,0.003268,0.003268
70,3705.71,0.49931,0.35573,1.02349,0.92897,0.87725,0.93617,0.816,0.53876,0.37461,1.04916,0.003169,0.003169,0.003169
71,3755.79,0.49588,0.35339,1.02453,0.93201,0.87421,0.93643,0.81762,0.53739,0.37364,1.04714,0.00307,0.00307,0.00307
72,3806,0.49507,0.35057,1.02373,0.93437,0.87513,0.93711,0.81671,0.53827,0.37167,1.04867,0.002971,0.002971,0.002971
73,3856.62,0.49677,0.35115,1.02325,0.9327,0.87588,0.93653,0.81616,0.53721,0.37229,1.0478,0.002872,0.002872,0.002872
74,3907.33,0.49381,0.3494,1.01979,0.93284,0.87555,0.93707,0.81816,0.53663,0.37061,1.0459,0.002773,0.002773,0.002773
75,3957.83,0.49276,0.34738,1.02231,0.92981,0.87771,0.93735,0.81802,0.5371,0.36931,1.04781,0.002674,0.002674,0.002674
76,4007.47,0.494,0.34713,1.01917,0.93139,0.87778,0.93751,0.81879,0.53502,0.36811,1.0448,0.002575,0.002575,0.002575
77,4058.62,0.48872,0.34287,1.01645,0.93483,0.87552,0.93715,0.819,0.5359,0.3674,1.04442,0.002476,0.002476,0.002476
78,4108.22,0.48999,0.34327,1.01389,0.93012,0.87931,0.93675,0.81881,0.53389,0.36695,1.0424,0.002377,0.002377,0.002377
79,4157.92,0.4862,0.34164,1.01511,0.93349,0.87804,0.93706,0.81926,0.53396,0.36772,1.04212,0.002278,0.002278,0.002278
80,4208.11,0.4818,0.3378,1.01333,0.93273,0.87872,0.93733,0.81893,0.53372,0.36633,1.04376,0.002179,0.002179,0.002179
81,4257.32,0.48167,0.33737,1.01293,0.93107,0.88026,0.93805,0.8199,0.53272,0.3656,1.04182,0.00208,0.00208,0.00208
82,4308.28,0.48503,0.33784,1.0124,0.93091,0.88043,0.93764,0.82,0.53348,0.36471,1.04178,0.001981,0.001981,0.001981
83,4357.75,0.48234,0.33545,1.009,0.93271,0.8797,0.9378,0.81988,0.53341,0.36478,1.04177,0.001882,0.001882,0.001882
84,4407.16,0.48271,0.33728,1.01045,0.9315,0.8819,0.93791,0.82006,0.53221,0.36503,1.03978,0.001783,0.001783,0.001783
85,4458.21,0.48377,0.33474,1.01106,0.93275,0.88163,0.93821,0.82125,0.53158,0.36338,1.03976,0.001684,0.001684,0.001684
86,4508.57,0.4792,0.33333,1.00897,0.93258,0.88164,0.93849,0.82216,0.53016,0.36168,1.03935,0.001585,0.001585,0.001585
87,4558.27,0.47561,0.33159,1.0115,0.93238,0.88144,0.93852,0.82234,0.52946,0.36192,1.03821,0.001486,0.001486,0.001486
88,4607.9,0.4774,0.33151,1.00967,0.93253,0.88135,0.93893,0.82311,0.52895,0.36084,1.03831,0.001387,0.001387,0.001387
89,4658.4,0.47574,0.32955,1.00707,0.93536,0.87906,0.93887,0.82276,0.52915,0.36092,1.03861,0.001288,0.001288,0.001288
90,4708.92,0.47682,0.32519,1.00701,0.93353,0.88256,0.93924,0.8231,0.52873,0.3594,1.0381,0.001189,0.001189,0.001189
91,4760.35,0.43936,0.29485,0.97518,0.9339,0.87962,0.93805,0.8223,0.5291,0.3605,1.03797,0.00109,0.00109,0.00109
92,4810.47,0.43503,0.28882,0.97108,0.93409,0.8781,0.93785,0.8226,0.52941,0.36002,1.0385,0.000991,0.000991,0.000991
93,4859.93,0.43287,0.28593,0.96831,0.9353,0.87761,0.93795,0.82275,0.52987,0.36004,1.03818,0.000892,0.000892,0.000892
94,4909.56,0.43143,0.28494,0.96632,0.93418,0.87882,0.93853,0.82338,0.52879,0.35959,1.03675,0.000793,0.000793,0.000793
95,4959.28,0.42937,0.28239,0.96523,0.93345,0.88049,0.93854,0.82389,0.52901,0.35881,1.03662,0.000694,0.000694,0.000694
96,5009.2,0.42895,0.28058,0.96384,0.93478,0.8787,0.93865,0.82429,0.52892,0.35842,1.03663,0.000595,0.000595,0.000595
97,5058.91,0.42698,0.27964,0.96364,0.93653,0.87761,0.93866,0.82442,0.52819,0.35778,1.03571,0.000496,0.000496,0.000496
98,5109.12,0.42428,0.27505,0.96174,0.93393,0.88017,0.93864,0.82475,0.52785,0.3574,1.03537,0.000397,0.000397,0.000397
99,5160.03,0.42306,0.27315,0.96092,0.93365,0.88128,0.93914,0.825,0.52763,0.35697,1.03525,0.000298,0.000298,0.000298
100,5209.84,0.42197,0.27228,0.96268,0.93475,0.88082,0.93902,0.8254,0.52761,0.35662,1.0354,0.000199,0.000199,0.000199
